============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4235 | PPL: 248571.49 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3716 | PPL: 235998.36 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.2178 | PPL: 202351.39 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9572 | PPL: 155936.90 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.5444 | PPL: 103200.09 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.6128 | PPL: 40650.88 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.5992 | PPL: 40104.32 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.2867 | PPL: 29341.14 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.4300 | PPL: 12455.91 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1361 | PPL: 9284.61 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.0872 | PPL: 8841.55 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.5082 | PPL: 4955.00 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2790 | PPL: 3940.33 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.5688 | PPL: 5264.76 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1508 | PPL: 3466.03 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9079 | PPL: 2718.57 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.8652 | PPL: 2605.12 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7198 | PPL: 2252.61 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0423 | PPL: 3109.91 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6054 | PPL: 2008.91 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1202 | PPL: 3361.67 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7706 | PPL: 2369.92 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.4983 | PPL: 1805.05 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.3148 | PPL: 1502.32 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.7889 | PPL: 2413.69 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3899 | PPL: 1619.53 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6832 | PPL: 2171.47 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3388 | PPL: 1538.86 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2996 | PPL: 1479.71 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6005 | PPL: 1999.11 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2492 | PPL: 1407.01 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.7217 | PPL: 2256.79 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.9362 | PPL: 2796.70 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.6437 | PPL: 2087.43 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.5079 | PPL: 1822.40 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.5293 | PPL: 1861.85 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.9264 | PPL: 2769.47 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.4122 | PPL: 1656.06 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4476 | PPL: 1715.81 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.0736 | PPL: 1180.43 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.8312 | PPL: 2518.05 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.7080 | PPL: 2226.08 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.4267 | PPL: 1680.30 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.0838 | PPL: 1192.46 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.5388 | PPL: 1879.64 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 7.0502 | PPL: 1153.13 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.6549 | PPL: 2110.96 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.5213 | PPL: 1846.90 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.1550 | PPL: 1280.52 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 8.0049 | PPL: 2995.70 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.6533 | PPL: 2107.50 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.4121 | PPL: 1655.82 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 6.8753 | PPL: 968.06 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.2645 | PPL: 1428.73 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.8251 | PPL: 2502.69 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.5430 | PPL: 1887.39 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.2137 | PPL: 1357.95 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.9291 | PPL: 2776.94 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 7.0140 | PPL: 1112.12 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.2358 | PPL: 1388.25 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.6940 | PPL: 2195.19 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 8.4053 | PPL: 4470.85 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4777 | PPL: 1768.17 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.0834 | PPL: 1191.96 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3288 | PPL: 1523.49 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.7743 | PPL: 2378.78 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.3934 | PPL: 1625.25 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.5580 | PPL: 1916.01 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 6.9632 | PPL: 1057.02 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.4510 | PPL: 1721.65 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 7.0382 | PPL: 1139.35 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5343 | PPL: 1871.17 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3878 | PPL: 1616.22 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.2132 | PPL: 1357.26 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1757 | PPL: 1307.23 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 7.1362 | PPL: 1256.68 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2650 | PPL: 1429.42 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.2589 | PPL: 1420.70 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.6877 | PPL: 2181.44 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.5122 | PPL: 1830.18 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 6.8858 | PPL: 978.28 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 7.0540 | PPL: 1157.51 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.4986 | PPL: 1805.46 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 7.1813 | PPL: 1314.65 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.9296 | PPL: 1022.08 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 6.9354 | PPL: 1028.05 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 7.4235 | PPL: 1674.83 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 6.5652 | PPL: 709.92 | Tokens: 7,208,960 | LR: 8.80e-05
Step 890 | Loss: 7.2788 | PPL: 1449.25 | Tokens: 7,290,880 | LR: 8.90e-05
Step 900 | Loss: 7.1455 | PPL: 1268.33 | Tokens: 7,372,800 | LR: 9.00e-05
Step 910 | Loss: 6.4490 | PPL: 632.08 | Tokens: 7,454,720 | LR: 9.10e-05
Step 920 | Loss: 6.6873 | PPL: 802.11 | Tokens: 7,536,640 | LR: 9.20e-05
Step 930 | Loss: 6.6516 | PPL: 774.00 | Tokens: 7,618,560 | LR: 9.30e-05
Step 940 | Loss: 7.1553 | PPL: 1280.86 | Tokens: 7,700,480 | LR: 9.40e-05
Step 950 | Loss: 6.9989 | PPL: 1095.47 | Tokens: 7,782,400 | LR: 9.50e-05
Step 960 | Loss: 7.1592 | PPL: 1285.88 | Tokens: 7,864,320 | LR: 9.60e-05
Step 970 | Loss: 7.3120 | PPL: 1498.24 | Tokens: 7,946,240 | LR: 9.70e-05
Step 980 | Loss: 7.4448 | PPL: 1710.95 | Tokens: 8,028,160 | LR: 9.80e-05
Step 990 | Loss: 7.3166 | PPL: 1505.13 | Tokens: 8,110,080 | LR: 9.90e-05
Step 1000 | Loss: 7.0670 | PPL: 1172.64 | Tokens: 8,192,000 | LR: 1.00e-04
Step 1010 | Loss: 7.5561 | PPL: 1912.37 | Tokens: 8,273,920 | LR: 1.00e-04
Step 1020 | Loss: 6.8399 | PPL: 934.43 | Tokens: 8,355,840 | LR: 1.00e-04
Step 1030 | Loss: 7.2107 | PPL: 1353.84 | Tokens: 8,437,760 | LR: 1.00e-04
Step 1040 | Loss: 7.1303 | PPL: 1249.21 | Tokens: 8,519,680 | LR: 1.00e-04
