============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast fp16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: fp16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4186 | PPL: 247368.74 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3665 | PPL: 234795.53 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3252 | PPL: 225312.15 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9396 | PPL: 153209.40 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.7546 | PPL: 127336.82 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.9428 | PPL: 56546.72 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.8482 | PPL: 51440.34 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.6323 | PPL: 41451.34 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.8878 | PPL: 19689.04 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.6720 | PPL: 15867.55 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.7227 | PPL: 16691.43 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 9.1790 | PPL: 9690.97 | Tokens: 983,040 | LR: 1.20e-05
