HOSTNAME=beagle3-0010.rcc.local
NVIDIA A100-PCIE-40GB, 40960 MiB, 00000000:B1:00.0
NVIDIA A100-PCIE-40GB, 40960 MiB, 00000000:CA:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4754 | PPL: 261812.72 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.2824 | PPL: 215854.96 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3277 | PPL: 225860.31 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.9707 | PPL: 158053.79 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.6228 | PPL: 111612.30 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.7200 | PPL: 45250.66 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.5062 | PPL: 36540.03 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.3393 | PPL: 30923.94 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.4754 | PPL: 13034.48 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.0544 | PPL: 8556.11 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.1092 | PPL: 9037.70 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.5309 | PPL: 5069.10 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2917 | PPL: 3990.50 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.5382 | PPL: 5106.12 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1485 | PPL: 3458.07 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9558 | PPL: 2852.03 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9740 | PPL: 2904.51 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7618 | PPL: 2349.15 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0660 | PPL: 3184.34 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6270 | PPL: 2052.93 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1258 | PPL: 3380.68 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7087 | PPL: 2227.72 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.4759 | PPL: 1764.91 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.3303 | PPL: 1525.86 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.8171 | PPL: 2482.67 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3820 | PPL: 1606.76 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6912 | PPL: 2188.94 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3410 | PPL: 1542.30 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2931 | PPL: 1470.14 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6061 | PPL: 2010.39 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2545 | PPL: 1414.43 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.7148 | PPL: 2241.22 | Tokens: 2,621,440 | LR: 3.20e-05
