HOSTNAME=midway3-0315.rcc.local
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:17:00.0
NVIDIA A100-SXM4-40GB, 40960 MiB, 00000000:B1:00.0
============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,278,528
Mixed precision: autocast bf16
Attention Residuals: OFF (standard residuals)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 4
Sequence length: 256
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4228 | PPL: 248410.81 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.3184 | PPL: 223786.78 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.3215 | PPL: 224473.13 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 12.0231 | PPL: 166559.76 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 11.8928 | PPL: 146213.37 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 10.8208 | PPL: 50048.81 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 10.8807 | PPL: 53141.96 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.5104 | PPL: 36694.83 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.6653 | PPL: 15760.71 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.1905 | PPL: 9803.57 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.1358 | PPL: 9281.64 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4699 | PPL: 4769.26 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.3024 | PPL: 4033.70 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.5836 | PPL: 5343.28 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1423 | PPL: 3436.92 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9645 | PPL: 2876.92 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9832 | PPL: 2931.30 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7195 | PPL: 2251.88 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0513 | PPL: 3137.82 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6360 | PPL: 2071.34 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1727 | PPL: 3542.96 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7319 | PPL: 2279.84 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.4919 | PPL: 1793.45 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.3222 | PPL: 1513.52 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.7910 | PPL: 2418.67 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3906 | PPL: 1620.69 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6764 | PPL: 2156.85 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3320 | PPL: 1528.50 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2875 | PPL: 1461.87 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.6267 | PPL: 2052.20 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2501 | PPL: 1408.25 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.7092 | PPL: 2228.72 | Tokens: 2,621,440 | LR: 3.20e-05
