============================================================
Argonne Model Training (DDP)
============================================================
Using device: cuda:0, World size: 2
Vocab size: 151669, EOS token ID: 151643
Using 2 GPUs with DistributedDataParallel
Compiling model with torch.compile...
Model parameters: 1,376,413,696
Mixed precision: autocast bf16
Attention Residuals: ON (block_size=4, 2 layers/block, ~8 blocks)
DataLoader: 20,839,021,454 tokens
Training for 1 epoch(s) ~= 2543825 steps (20,839,021,454 tokens)

Starting training...
GPUs: 2, Batch size per GPU: 1
Sequence length: 1024
Total batch size: 8192 tokens (requested: 8192)
Gradient accumulation steps: 4
Training for 1 epoch(s) (estimated ~2543825 steps)
LR: 0.0001, Warmup: 1000, Min LR Ratio: 0.1, Precision: bf16, TorchCompile: 1
Checkpoint interval: 999999 seconds
Mode: continued pretraining (fresh schedule)
------------------------------------------------------------
Step 10 | Loss: 12.4609 | PPL: 258057.69 | Tokens: 81,920 | LR: 1.00e-06
Step 20 | Loss: 12.1803 | PPL: 194901.99 | Tokens: 163,840 | LR: 2.00e-06
Step 30 | Loss: 12.1812 | PPL: 195089.06 | Tokens: 245,760 | LR: 3.00e-06
Step 40 | Loss: 11.3874 | PPL: 88203.39 | Tokens: 327,680 | LR: 4.00e-06
Step 50 | Loss: 10.6406 | PPL: 41798.65 | Tokens: 409,600 | LR: 5.00e-06
Step 60 | Loss: 9.9358 | PPL: 20655.79 | Tokens: 491,520 | LR: 6.00e-06
Step 70 | Loss: 9.7371 | PPL: 16934.61 | Tokens: 573,440 | LR: 7.00e-06
Step 80 | Loss: 10.0369 | PPL: 22855.44 | Tokens: 655,360 | LR: 8.00e-06
Step 90 | Loss: 9.2158 | PPL: 10054.32 | Tokens: 737,280 | LR: 9.00e-06
Step 100 | Loss: 9.0453 | PPL: 8478.28 | Tokens: 819,200 | LR: 1.00e-05
Step 110 | Loss: 9.0447 | PPL: 8473.12 | Tokens: 901,120 | LR: 1.10e-05
Step 120 | Loss: 8.4280 | PPL: 4573.56 | Tokens: 983,040 | LR: 1.20e-05
Step 130 | Loss: 8.2702 | PPL: 3905.59 | Tokens: 1,064,960 | LR: 1.30e-05
Step 140 | Loss: 8.6086 | PPL: 5478.52 | Tokens: 1,146,880 | LR: 1.40e-05
Step 150 | Loss: 8.1347 | PPL: 3410.89 | Tokens: 1,228,800 | LR: 1.50e-05
Step 160 | Loss: 7.9400 | PPL: 2807.45 | Tokens: 1,310,720 | LR: 1.60e-05
Step 170 | Loss: 7.9489 | PPL: 2832.48 | Tokens: 1,392,640 | LR: 1.70e-05
Step 180 | Loss: 7.7794 | PPL: 2390.82 | Tokens: 1,474,560 | LR: 1.80e-05
Step 190 | Loss: 8.0701 | PPL: 3197.50 | Tokens: 1,556,480 | LR: 1.90e-05
Step 200 | Loss: 7.6132 | PPL: 2024.75 | Tokens: 1,638,400 | LR: 2.00e-05
Step 210 | Loss: 8.1263 | PPL: 3382.28 | Tokens: 1,720,320 | LR: 2.10e-05
Step 220 | Loss: 7.7168 | PPL: 2245.69 | Tokens: 1,802,240 | LR: 2.20e-05
Step 230 | Loss: 7.4879 | PPL: 1786.30 | Tokens: 1,884,160 | LR: 2.30e-05
Step 240 | Loss: 7.3055 | PPL: 1488.45 | Tokens: 1,966,080 | LR: 2.40e-05
Step 250 | Loss: 7.7640 | PPL: 2354.21 | Tokens: 2,048,000 | LR: 2.50e-05
Step 260 | Loss: 7.3461 | PPL: 1550.17 | Tokens: 2,129,920 | LR: 2.60e-05
Step 270 | Loss: 7.6766 | PPL: 2157.24 | Tokens: 2,211,840 | LR: 2.70e-05
Step 280 | Loss: 7.3127 | PPL: 1499.25 | Tokens: 2,293,760 | LR: 2.80e-05
Step 290 | Loss: 7.2943 | PPL: 1471.93 | Tokens: 2,375,680 | LR: 2.90e-05
Step 300 | Loss: 7.5633 | PPL: 1926.18 | Tokens: 2,457,600 | LR: 3.00e-05
Step 310 | Loss: 7.2360 | PPL: 1388.46 | Tokens: 2,539,520 | LR: 3.10e-05
Step 320 | Loss: 7.6704 | PPL: 2144.03 | Tokens: 2,621,440 | LR: 3.20e-05
Step 330 | Loss: 7.9322 | PPL: 2785.47 | Tokens: 2,703,360 | LR: 3.30e-05
Step 340 | Loss: 7.6480 | PPL: 2096.51 | Tokens: 2,785,280 | LR: 3.40e-05
Step 350 | Loss: 7.5027 | PPL: 1812.94 | Tokens: 2,867,200 | LR: 3.50e-05
Step 360 | Loss: 7.4942 | PPL: 1797.55 | Tokens: 2,949,120 | LR: 3.60e-05
Step 370 | Loss: 7.8536 | PPL: 2574.92 | Tokens: 3,031,040 | LR: 3.70e-05
Step 380 | Loss: 7.3717 | PPL: 1590.30 | Tokens: 3,112,960 | LR: 3.80e-05
Step 390 | Loss: 7.4049 | PPL: 1644.05 | Tokens: 3,194,880 | LR: 3.90e-05
Step 400 | Loss: 7.0421 | PPL: 1143.73 | Tokens: 3,276,800 | LR: 4.00e-05
Step 410 | Loss: 7.7908 | PPL: 2418.23 | Tokens: 3,358,720 | LR: 4.10e-05
Step 420 | Loss: 7.6450 | PPL: 2090.12 | Tokens: 3,440,640 | LR: 4.20e-05
Step 430 | Loss: 7.4095 | PPL: 1651.55 | Tokens: 3,522,560 | LR: 4.30e-05
Step 440 | Loss: 7.0257 | PPL: 1125.14 | Tokens: 3,604,480 | LR: 4.40e-05
Step 450 | Loss: 7.5234 | PPL: 1850.84 | Tokens: 3,686,400 | LR: 4.50e-05
Step 460 | Loss: 6.9929 | PPL: 1088.84 | Tokens: 3,768,320 | LR: 4.60e-05
Step 470 | Loss: 7.5864 | PPL: 1971.29 | Tokens: 3,850,240 | LR: 4.70e-05
Step 480 | Loss: 7.4543 | PPL: 1727.23 | Tokens: 3,932,160 | LR: 4.80e-05
Step 490 | Loss: 7.0914 | PPL: 1201.54 | Tokens: 4,014,080 | LR: 4.90e-05
Step 500 | Loss: 7.9408 | PPL: 2809.67 | Tokens: 4,096,000 | LR: 5.00e-05
Step 510 | Loss: 7.5291 | PPL: 1861.42 | Tokens: 4,177,920 | LR: 5.10e-05
Step 520 | Loss: 7.3559 | PPL: 1565.43 | Tokens: 4,259,840 | LR: 5.20e-05
Step 530 | Loss: 6.7638 | PPL: 865.96 | Tokens: 4,341,760 | LR: 5.30e-05
Step 540 | Loss: 7.1961 | PPL: 1334.23 | Tokens: 4,423,680 | LR: 5.40e-05
Step 550 | Loss: 7.7999 | PPL: 2440.35 | Tokens: 4,505,600 | LR: 5.50e-05
Step 560 | Loss: 7.5173 | PPL: 1839.66 | Tokens: 4,587,520 | LR: 5.60e-05
Step 570 | Loss: 7.2095 | PPL: 1352.18 | Tokens: 4,669,440 | LR: 5.70e-05
Step 580 | Loss: 7.9465 | PPL: 2825.61 | Tokens: 4,751,360 | LR: 5.80e-05
Step 590 | Loss: 6.9587 | PPL: 1052.25 | Tokens: 4,833,280 | LR: 5.90e-05
Step 600 | Loss: 7.1903 | PPL: 1326.54 | Tokens: 4,915,200 | LR: 6.00e-05
Step 610 | Loss: 7.6703 | PPL: 2143.79 | Tokens: 4,997,120 | LR: 6.10e-05
Step 620 | Loss: 8.3483 | PPL: 4222.94 | Tokens: 5,079,040 | LR: 6.20e-05
Step 630 | Loss: 7.4541 | PPL: 1726.93 | Tokens: 5,160,960 | LR: 6.30e-05
Step 640 | Loss: 7.0529 | PPL: 1156.22 | Tokens: 5,242,880 | LR: 6.40e-05
Step 650 | Loss: 7.3043 | PPL: 1486.70 | Tokens: 5,324,800 | LR: 6.50e-05
Step 660 | Loss: 7.7426 | PPL: 2304.48 | Tokens: 5,406,720 | LR: 6.60e-05
Step 670 | Loss: 7.3476 | PPL: 1552.50 | Tokens: 5,488,640 | LR: 6.70e-05
Step 680 | Loss: 7.5156 | PPL: 1836.48 | Tokens: 5,570,560 | LR: 6.80e-05
Step 690 | Loss: 6.9289 | PPL: 1021.42 | Tokens: 5,652,480 | LR: 6.90e-05
Step 700 | Loss: 7.3885 | PPL: 1617.22 | Tokens: 5,734,400 | LR: 7.00e-05
Step 710 | Loss: 6.9905 | PPL: 1086.27 | Tokens: 5,816,320 | LR: 7.10e-05
Step 720 | Loss: 7.5559 | PPL: 1911.95 | Tokens: 5,898,240 | LR: 7.20e-05
Step 730 | Loss: 7.3161 | PPL: 1504.34 | Tokens: 5,980,160 | LR: 7.30e-05
Step 740 | Loss: 7.1483 | PPL: 1271.89 | Tokens: 6,062,080 | LR: 7.40e-05
Step 750 | Loss: 7.1327 | PPL: 1252.27 | Tokens: 6,144,000 | LR: 7.50e-05
Step 760 | Loss: 7.0626 | PPL: 1167.45 | Tokens: 6,225,920 | LR: 7.60e-05
Step 770 | Loss: 7.2352 | PPL: 1387.47 | Tokens: 6,307,840 | LR: 7.70e-05
Step 780 | Loss: 7.2165 | PPL: 1361.66 | Tokens: 6,389,760 | LR: 7.80e-05
Step 790 | Loss: 7.6508 | PPL: 2102.43 | Tokens: 6,471,680 | LR: 7.90e-05
Step 800 | Loss: 7.4384 | PPL: 1700.06 | Tokens: 6,553,600 | LR: 8.00e-05
Step 810 | Loss: 6.8482 | PPL: 942.19 | Tokens: 6,635,520 | LR: 8.10e-05
Step 820 | Loss: 6.9663 | PPL: 1060.33 | Tokens: 6,717,440 | LR: 8.20e-05
Step 830 | Loss: 7.3997 | PPL: 1635.42 | Tokens: 6,799,360 | LR: 8.30e-05
Step 840 | Loss: 7.1248 | PPL: 1242.43 | Tokens: 6,881,280 | LR: 8.40e-05
Step 850 | Loss: 6.9108 | PPL: 1003.05 | Tokens: 6,963,200 | LR: 8.50e-05
Step 860 | Loss: 6.9165 | PPL: 1008.78 | Tokens: 7,045,120 | LR: 8.60e-05
Step 870 | Loss: 7.4490 | PPL: 1718.16 | Tokens: 7,127,040 | LR: 8.70e-05
Step 880 | Loss: 6.5516 | PPL: 700.34 | Tokens: 7,208,960 | LR: 8.80e-05
Step 890 | Loss: 7.2162 | PPL: 1361.30 | Tokens: 7,290,880 | LR: 8.90e-05
Step 900 | Loss: 7.0850 | PPL: 1193.98 | Tokens: 7,372,800 | LR: 9.00e-05
Step 910 | Loss: 6.3842 | PPL: 592.41 | Tokens: 7,454,720 | LR: 9.10e-05
Step 920 | Loss: 6.5760 | PPL: 717.66 | Tokens: 7,536,640 | LR: 9.20e-05
Step 930 | Loss: 6.6376 | PPL: 763.24 | Tokens: 7,618,560 | LR: 9.30e-05
Step 940 | Loss: 7.0935 | PPL: 1204.09 | Tokens: 7,700,480 | LR: 9.40e-05
Step 950 | Loss: 6.9967 | PPL: 1093.06 | Tokens: 7,782,400 | LR: 9.50e-05
Step 960 | Loss: 7.1124 | PPL: 1227.13 | Tokens: 7,864,320 | LR: 9.60e-05
Step 970 | Loss: 7.2789 | PPL: 1449.35 | Tokens: 7,946,240 | LR: 9.70e-05
Step 980 | Loss: 7.4053 | PPL: 1644.75 | Tokens: 8,028,160 | LR: 9.80e-05
Step 990 | Loss: 7.2821 | PPL: 1454.06 | Tokens: 8,110,080 | LR: 9.90e-05
Step 1000 | Loss: 7.0873 | PPL: 1196.72 | Tokens: 8,192,000 | LR: 1.00e-04
Step 1010 | Loss: 7.4865 | PPL: 1783.74 | Tokens: 8,273,920 | LR: 1.00e-04
Step 1020 | Loss: 6.7796 | PPL: 879.67 | Tokens: 8,355,840 | LR: 1.00e-04
Step 1030 | Loss: 7.2073 | PPL: 1349.25 | Tokens: 8,437,760 | LR: 1.00e-04
Step 1040 | Loss: 7.1309 | PPL: 1249.97 | Tokens: 8,519,680 | LR: 1.00e-04
Step 1050 | Loss: 6.9167 | PPL: 1008.96 | Tokens: 8,601,600 | LR: 1.00e-04
Step 1060 | Loss: 6.9293 | PPL: 1021.79 | Tokens: 8,683,520 | LR: 1.00e-04
Step 1070 | Loss: 7.3894 | PPL: 1618.71 | Tokens: 8,765,440 | LR: 1.00e-04
Step 1080 | Loss: 6.8767 | PPL: 969.39 | Tokens: 8,847,360 | LR: 1.00e-04
Step 1090 | Loss: 7.4678 | PPL: 1750.69 | Tokens: 8,929,280 | LR: 1.00e-04
Step 1100 | Loss: 6.9563 | PPL: 1049.74 | Tokens: 9,011,200 | LR: 1.00e-04
Step 1110 | Loss: 6.5971 | PPL: 732.96 | Tokens: 9,093,120 | LR: 1.00e-04
Step 1120 | Loss: 6.9858 | PPL: 1081.18 | Tokens: 9,175,040 | LR: 1.00e-04
Step 1130 | Loss: 6.7258 | PPL: 833.62 | Tokens: 9,256,960 | LR: 1.00e-04
Step 1140 | Loss: 6.8725 | PPL: 965.34 | Tokens: 9,338,880 | LR: 1.00e-04
Step 1150 | Loss: 7.4317 | PPL: 1688.63 | Tokens: 9,420,800 | LR: 1.00e-04
Step 1160 | Loss: 7.0652 | PPL: 1170.48 | Tokens: 9,502,720 | LR: 1.00e-04
Step 1170 | Loss: 7.3045 | PPL: 1486.95 | Tokens: 9,584,640 | LR: 1.00e-04
Step 1180 | Loss: 6.8085 | PPL: 905.51 | Tokens: 9,666,560 | LR: 1.00e-04
Step 1190 | Loss: 7.4989 | PPL: 1806.11 | Tokens: 9,748,480 | LR: 1.00e-04
Step 1200 | Loss: 6.8459 | PPL: 939.97 | Tokens: 9,830,400 | LR: 1.00e-04
Step 1210 | Loss: 6.3356 | PPL: 564.28 | Tokens: 9,912,320 | LR: 1.00e-04
Step 1220 | Loss: 7.2501 | PPL: 1408.29 | Tokens: 9,994,240 | LR: 1.00e-04
Step 1230 | Loss: 7.4276 | PPL: 1681.70 | Tokens: 10,076,160 | LR: 1.00e-04
Step 1240 | Loss: 7.1857 | PPL: 1320.37 | Tokens: 10,158,080 | LR: 1.00e-04
Step 1250 | Loss: 6.9521 | PPL: 1045.34 | Tokens: 10,240,000 | LR: 1.00e-04
Step 1260 | Loss: 7.0677 | PPL: 1173.48 | Tokens: 10,321,920 | LR: 1.00e-04
Step 1270 | Loss: 7.0343 | PPL: 1134.86 | Tokens: 10,403,840 | LR: 1.00e-04
Step 1280 | Loss: 6.9178 | PPL: 1010.06 | Tokens: 10,485,760 | LR: 1.00e-04
Step 1290 | Loss: 7.0679 | PPL: 1173.65 | Tokens: 10,567,680 | LR: 1.00e-04
Step 1300 | Loss: 7.2919 | PPL: 1468.32 | Tokens: 10,649,600 | LR: 1.00e-04
Step 1310 | Loss: 6.5289 | PPL: 684.67 | Tokens: 10,731,520 | LR: 1.00e-04
Step 1320 | Loss: 6.6539 | PPL: 775.83 | Tokens: 10,813,440 | LR: 1.00e-04
Step 1330 | Loss: 6.5310 | PPL: 686.11 | Tokens: 10,895,360 | LR: 1.00e-04
Step 1340 | Loss: 6.4536 | PPL: 634.95 | Tokens: 10,977,280 | LR: 1.00e-04
Step 1350 | Loss: 7.0712 | PPL: 1177.58 | Tokens: 11,059,200 | LR: 1.00e-04
Step 1360 | Loss: 6.5529 | PPL: 701.25 | Tokens: 11,141,120 | LR: 1.00e-04
Step 1370 | Loss: 6.5875 | PPL: 725.94 | Tokens: 11,223,040 | LR: 1.00e-04
Step 1380 | Loss: 6.2070 | PPL: 496.21 | Tokens: 11,304,960 | LR: 1.00e-04
Step 1390 | Loss: 6.9295 | PPL: 1021.94 | Tokens: 11,386,880 | LR: 1.00e-04
Step 1400 | Loss: 6.7628 | PPL: 865.05 | Tokens: 11,468,800 | LR: 1.00e-04
Step 1410 | Loss: 6.2425 | PPL: 514.12 | Tokens: 11,550,720 | LR: 1.00e-04
Step 1420 | Loss: 7.4211 | PPL: 1670.89 | Tokens: 11,632,640 | LR: 1.00e-04
Step 1430 | Loss: 7.1303 | PPL: 1249.21 | Tokens: 11,714,560 | LR: 1.00e-04
Step 1440 | Loss: 6.6866 | PPL: 801.56 | Tokens: 11,796,480 | LR: 1.00e-04
Step 1450 | Loss: 6.3081 | PPL: 549.02 | Tokens: 11,878,400 | LR: 1.00e-04
Step 1460 | Loss: 6.4233 | PPL: 616.05 | Tokens: 11,960,320 | LR: 1.00e-04
Step 1470 | Loss: 6.2247 | PPL: 505.07 | Tokens: 12,042,240 | LR: 1.00e-04
Step 1480 | Loss: 7.3543 | PPL: 1562.93 | Tokens: 12,124,160 | LR: 1.00e-04
Step 1490 | Loss: 7.0374 | PPL: 1138.42 | Tokens: 12,206,080 | LR: 1.00e-04
Step 1500 | Loss: 7.0068 | PPL: 1104.11 | Tokens: 12,288,000 | LR: 1.00e-04
Step 1510 | Loss: 7.1467 | PPL: 1269.89 | Tokens: 12,369,920 | LR: 1.00e-04
Step 1520 | Loss: 6.6283 | PPL: 756.17 | Tokens: 12,451,840 | LR: 1.00e-04
Step 1530 | Loss: 7.0982 | PPL: 1209.75 | Tokens: 12,533,760 | LR: 1.00e-04
Step 1540 | Loss: 6.8186 | PPL: 914.69 | Tokens: 12,615,680 | LR: 1.00e-04
Step 1550 | Loss: 5.5935 | PPL: 268.67 | Tokens: 12,697,600 | LR: 1.00e-04
Step 1560 | Loss: 6.6622 | PPL: 782.29 | Tokens: 12,779,520 | LR: 1.00e-04
